"EventType","InsertText","DeleteText","SourceLocation","ClientTimestamp","CodeStateSection","ToolInstances","EditType","X-Metadata","CodeStateID","X-Compilable","EventID","SubjectID","AssignmentID"
"File.Edit","# Jake Daniels
# CS1400 - 001
# Assignment ??","","0","1667846497262","vecAdd.py","1.1.4 for 2021-2022 @t1","Insert",,,,,,
"File.Edit","
","","45","1667846497954","vecAdd.py","1.1.4 for 2021-2022 @t1","Insert",,,,,,
"File.Edit","","S1400 - 001
# Assignment ??","18","1667846503273","vecAdd.py","1.1.4 for 2021-2022 @t1","Delete",,,,,,
"File.Edit","","C","17","1667846503550","vecAdd.py","1.1.4 for 2021-2022 @t1","Delete",,,,,,
"File.Edit","M","","17","1667846503881","vecAdd.py","1.1.4 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","M",,"18","1667846503951","vecAdd.py","1.1.4 for 2021-2022 @t1",,"M",,,,,
"File.Edit","a","","18","1667846504107","vecAdd.py","1.1.4 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","a",,"19","1667846504112","vecAdd.py","1.1.4 for 2021-2022 @t1",,"a",,,,,
"File.Edit","t","","19","1667846504241","vecAdd.py","1.1.4 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","t",,"20","1667846504241","vecAdd.py","1.1.4 for 2021-2022 @t1",,"t",,,,,
"File.Edit","h","","20","1667846504406","vecAdd.py","1.1.4 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","h",,"21","1667846504408","vecAdd.py","1.1.4 for 2021-2022 @t1",,"h",,,,,
"File.Edit"," ","","21","1667846505266","vecAdd.py","1.1.4 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke"," ",,"22","1667846505293","vecAdd.py","1.1.4 for 2021-2022 @t1",," ",,,,,
"File.Edit","4","","22","1667846505389","vecAdd.py","1.1.4 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","4",,"23","1667846505391","vecAdd.py","1.1.4 for 2021-2022 @t1",,"4",,,,,
"File.Edit","6","","23","1667846505471","vecAdd.py","1.1.4 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","6",,"24","1667846505475","vecAdd.py","1.1.4 for 2021-2022 @t1",,"6",,,,,
"File.Edit"," ","","24","1667846505496","vecAdd.py","1.1.4 for 2021-2022 @t1","Insert",,,,,,
"File.Edit",""," ","24","1667846507541","vecAdd.py","1.1.4 for 2021-2022 @t1","Delete",,,,,,
"File.Edit","10","","24","1667846507542","vecAdd.py","1.1.4 for 2021-2022 @t1","Insert",,,,,,
"File.Edit","
","","27","1667846508246","vecAdd.py","1.1.4 for 2021-2022 @t1","Insert",,,,,,
"File.Edit","
","","28","1667846508312","vecAdd.py","1.1.4 for 2021-2022 @t1","Insert",,,,,,
"File.Edit","import numpy as np","","28","1667846509431","vecAdd.py","1.1.4 for 2021-2022 @t1","Insert",,,,,,
"File.Edit","
","","47","1667846509849","vecAdd.py","1.1.4 for 2021-2022 @t1","Insert",,,,,,
"File.Edit","
","","48","1667846510254","vecAdd.py","1.1.4 for 2021-2022 @t1","Insert",,,,,,
"File.Edit","def vecAdd(a, b):","","48","1667846514130","vecAdd.py","1.1.4 for 2021-2022 @t1","Insert",,,,,,
"File.Edit","
","","66","1667846515342","vecAdd.py","1.1.4 for 2021-2022 @t1","Insert",,,,,,
"File.Edit","    ","","66","1667846515351","vecAdd.py","1.1.4 for 2021-2022 @t1","Insert",,,,,,
"File.Edit","""""""Adds two vectors together""""""
    if len(a) != len(b):
        print(""Vectors must be the same length"")
        return None
    c = np.zeros(len(a))
    for i in range(len(a)):
        c[i] = a[i] + b[i]
    return c","","70","1667846525731","vecAdd.py","1.1.4 for 2021-2022 @t1","Insert",,,,,,
"File.Edit",""," """"""Adds two vectors together""""""","69","1667846529717","vecAdd.py","1.1.4 for 2021-2022 @t1","Delete",,,,,,
"File.Edit",""," ","68","1667846529941","vecAdd.py","1.1.4 for 2021-2022 @t1","Delete",,,,,,
"File.Edit","","  ","66","1667846529950","vecAdd.py","1.1.4 for 2021-2022 @t1","Delete",,,,,,
"File.Edit","","
","66","1667846530190","vecAdd.py","1.1.4 for 2021-2022 @t1","Delete",,,,,,
"File.Edit","# Jake Daniels
# CS1400 - 001
# Assignment ??","","0","1667846558881","vecSub.py","1.1.4 for 2021-2022 @t1","Insert",,,,,,
"File.Edit","
","","45","1667846559083","vecSub.py","1.1.4 for 2021-2022 @t1","Insert",,,,,,
"File.Edit","","S1400 - 001
# Assignment ??","18","1667846562803","vecSub.py","1.1.4 for 2021-2022 @t1","Delete",,,,,,
"File.Edit","","C","17","1667846562935","vecSub.py","1.1.4 for 2021-2022 @t1","Delete",,,,,,
"File.Edit","M","","17","1667846563066","vecSub.py","1.1.4 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","M",,"18","1667846563073","vecSub.py","1.1.4 for 2021-2022 @t1",,"M",,,,,
"File.Edit"," ","","18","1667846563087","vecSub.py","1.1.4 for 2021-2022 @t1","Insert",,,,,,
"File.Edit",""," ","18","1667846563245","vecSub.py","1.1.4 for 2021-2022 @t1","Delete",,,,,,
"File.Edit","a","","18","1667846563246","vecSub.py","1.1.4 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","a",,"19","1667846563247","vecSub.py","1.1.4 for 2021-2022 @t1",,"a",,,,,
"File.Edit","t","","19","1667846563375","vecSub.py","1.1.4 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","t",,"20","1667846563384","vecSub.py","1.1.4 for 2021-2022 @t1",,"t",,,,,
"File.Edit","h","","20","1667846563573","vecSub.py","1.1.4 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","h",,"21","1667846563577","vecSub.py","1.1.4 for 2021-2022 @t1",,"h",,,,,
"File.Edit"," ","","21","1667846563945","vecSub.py","1.1.4 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke"," ",,"22","1667846563946","vecSub.py","1.1.4 for 2021-2022 @t1",," ",,,,,
"File.Edit","4","","22","1667846564308","vecSub.py","1.1.4 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","4",,"23","1667846564311","vecSub.py","1.1.4 for 2021-2022 @t1",,"4",,,,,
"File.Edit","6","","23","1667846564444","vecSub.py","1.1.4 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","6",,"24","1667846564445","vecSub.py","1.1.4 for 2021-2022 @t1",,"6",,,,,
"File.Edit"," ","","24","1667846564471","vecSub.py","1.1.4 for 2021-2022 @t1","Insert",,,,,,
"File.Edit",""," ","24","1667846565075","vecSub.py","1.1.4 for 2021-2022 @t1","Delete",,,,,,
"File.Edit","10","","24","1667846565076","vecSub.py","1.1.4 for 2021-2022 @t1","Insert",,,,,,
"File.Edit","
","","27","1667846565355","vecSub.py","1.1.4 for 2021-2022 @t1","Insert",,,,,,
"File.Edit","
","","28","1667846565580","vecSub.py","1.1.4 for 2021-2022 @t1","Insert",,,,,,
"File.Edit","import numpy as np","","28","1667846566546","vecSub.py","1.1.4 for 2021-2022 @t1","Insert",,,,,,
"File.Edit","
","","47","1667846566780","vecSub.py","1.1.4 for 2021-2022 @t1","Insert",,,,,,
"File.Edit","
","","48","1667846566939","vecSub.py","1.1.4 for 2021-2022 @t1","Insert",,,,,,
"File.Edit","def vecSub(a, b):","","48","1667846568530","vecSub.py","1.1.4 for 2021-2022 @t1","Insert",,,,,,
"File.Edit","    if len(a) != len(b):
        print(""Vectors must be the same length"")
        return None
    c = np.zeros(len(a))
    for i in range(len(a)):
        c[i] = a[i] - b[i]
    return c
","","66","1667846571102","vecSub.py","1.1.4 for 2021-2022 @t1","Insert",,,,,,
"File.Edit","# Jake Daniels
# CS1400 - 001
# Assignment ??","","0","1667846665429","vecNorm1.py","1.1.4 for 2021-2022 @t1","Insert",,,,,,
"File.Edit","
","","45","1667846665643","vecNorm1.py","1.1.4 for 2021-2022 @t1","Insert",,,,,,
"File.Edit","","CS1400 - 001
# Assignment ??","17","1667846669635","vecNorm1.py","1.1.4 for 2021-2022 @t1","Delete",,,,,,
"File.Edit","M","","17","1667846669644","vecNorm1.py","1.1.4 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","M",,"18","1667846669648","vecNorm1.py","1.1.4 for 2021-2022 @t1",,"M",,,,,
"File.Edit"," ","","18","1667846669673","vecNorm1.py","1.1.4 for 2021-2022 @t1","Insert",,,,,,
