"EventType","InsertText","DeleteText","SourceLocation","ClientTimestamp","CodeStateSection","ToolInstances","EditType","X-Metadata","CodeStateID","X-Compilable","EventID","SubjectID","AssignmentID"
"X-Action","ShowYourWork Init","","","1667846407815",,"1.1.4 for 2021-2022 @t1",,"Init",,,,,
"File.Edit","# Jake Daniels
# CS1400 - 001
# Assignment ??","","0","1667847705105","Test.py","1.1.4 for 2021-2022 @t1","Insert",,,,,,
"File.Edit","
","","45","1667847705322","Test.py","1.1.4 for 2021-2022 @t1","Insert",,,,,,
"File.Edit","
","","46","1667847708369","Test.py","1.1.4 for 2021-2022 @t1","Insert",,,,,,
"File.Edit","
","","47","1667847708478","Test.py","1.1.4 for 2021-2022 @t1","Insert",,,,,,
"File.Edit","import numpy as np","","47","1667847710169","Test.py","1.1.4 for 2021-2022 @t1","Insert",,,,,,
"File.Edit","
","","66","1667847710522","Test.py","1.1.4 for 2021-2022 @t1","Insert",,,,,,
"File.Edit","i","","66","1667847711825","Test.py","1.1.4 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","i",,"67","1667847711827","Test.py","1.1.4 for 2021-2022 @t1",,"i",,,,,
"File.Edit","m","","67","1667847711959","Test.py","1.1.4 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","m",,"68","1667847711960","Test.py","1.1.4 for 2021-2022 @t1",,"m",,,,,
"File.Edit","p","","68","1667847712083","Test.py","1.1.4 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","p",,"69","1667847712084","Test.py","1.1.4 for 2021-2022 @t1",,"p",,,,,
"File.Edit","o","","69","1667847712157","Test.py","1.1.4 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","o",,"70","1667847712157","Test.py","1.1.4 for 2021-2022 @t1",,"o",,,,,
"File.Edit","r","","70","1667847712333","Test.py","1.1.4 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","r",,"71","1667847712334","Test.py","1.1.4 for 2021-2022 @t1",,"r",,,,,
"File.Edit","t","","71","1667847712809","Test.py","1.1.4 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","t",,"72","1667847712809","Test.py","1.1.4 for 2021-2022 @t1",,"t",,,,,
"File.Edit"," ","","72","1667847712925","Test.py","1.1.4 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke"," ",,"73","1667847712926","Test.py","1.1.4 for 2021-2022 @t1",," ",,,,,
"File.Edit",""," ","72","1667847713913","Test.py","1.1.4 for 2021-2022 @t1","Delete",,,,,,
"File.Edit","","t","71","1667847713989","Test.py","1.1.4 for 2021-2022 @t1","Delete",,,,,,
"File.Edit","","r","70","1667847714500","Test.py","1.1.4 for 2021-2022 @t1","Delete",,,,,,
"File.Edit","","o","69","1667847714533","Test.py","1.1.4 for 2021-2022 @t1","Delete",,,,,,
"File.Edit","","p","68","1667847714565","Test.py","1.1.4 for 2021-2022 @t1","Delete",,,,,,
"File.Edit","","m","67","1667847714799","Test.py","1.1.4 for 2021-2022 @t1","Delete",,,,,,
"File.Edit","","i","66","1667847715022","Test.py","1.1.4 for 2021-2022 @t1","Delete",,,,,,
"File.Edit","f","","66","1667847715140","Test.py","1.1.4 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","f",,"67","1667847715141","Test.py","1.1.4 for 2021-2022 @t1",,"f",,,,,
"File.Edit"," ","","67","1667847715147","Test.py","1.1.4 for 2021-2022 @t1","Insert",,,,,,
"File.Edit",""," ","67","1667847715317","Test.py","1.1.4 for 2021-2022 @t1","Delete",,,,,,
"File.Edit","r","","67","1667847715318","Test.py","1.1.4 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","r",,"68","1667847715323","Test.py","1.1.4 for 2021-2022 @t1",,"r",,,,,
"File.Edit"," ","","68","1667847715332","Test.py","1.1.4 for 2021-2022 @t1","Insert",,,,,,
"File.Edit",""," ","68","1667847715387","Test.py","1.1.4 for 2021-2022 @t1","Delete",,,,,,
"File.Edit","o","","68","1667847715388","Test.py","1.1.4 for 2021-2022 @t1","Insert",,,,,,
