"EventType","InsertText","DeleteText","SourceLocation","ClientTimestamp","CodeStateSection","ToolInstances","EditType","X-Metadata","CodeStateID","X-Compilable","EventID","SubjectID","AssignmentID"
"File.Edit","# Jake Daniels
# CS1400 - 001
# Assignment ??","","0","1666649327914","trapezoid.py","1.1.4 for 2021-2022 @t1","Insert",,,,,,
"File.Edit","
","","45","1666649328542","trapezoid.py","1.1.4 for 2021-2022 @t1","Insert",,,,,,
"File.Edit","","CS1400 - 001
# Assignment ??","17","1666649333393","trapezoid.py","1.1.4 for 2021-2022 @t1","Delete",,,,,,
"File.Edit","M","","17","1666649333410","trapezoid.py","1.1.4 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","M",,"18","1666649333448","trapezoid.py","1.1.4 for 2021-2022 @t1",,"M",,,,,
"File.Edit","A","","18","1666649334423","trapezoid.py","1.1.4 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","A",,"19","1666649334426","trapezoid.py","1.1.4 for 2021-2022 @t1",,"A",,,,,
"File.Edit","T","","19","1666649334431","trapezoid.py","1.1.4 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","T",,"20","1666649334432","trapezoid.py","1.1.4 for 2021-2022 @t1",,"T",,,,,
"File.Edit","H","","20","1666649334435","trapezoid.py","1.1.4 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","H",,"21","1666649334437","trapezoid.py","1.1.4 for 2021-2022 @t1",,"H",,,,,
"File.Edit"," ","","21","1666649334452","trapezoid.py","1.1.4 for 2021-2022 @t1","Insert",,,,,,
"File.Edit",""," ","21","1666649334537","trapezoid.py","1.1.4 for 2021-2022 @t1","Delete",,,,,,
"File.Edit"," ","","21","1666649334567","trapezoid.py","1.1.4 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke"," ",,"22","1666649334633","trapezoid.py","1.1.4 for 2021-2022 @t1",," ",,,,,
"File.Edit","4","","22","1666649335066","trapezoid.py","1.1.4 for 2021-2022 @t1","Insert",,,,,,
