"EventType","InsertText","DeleteText","SourceLocation","ClientTimestamp","CodeStateSection","ToolInstances","EditType","X-Metadata","CodeStateID","X-Compilable","EventID","SubjectID","AssignmentID"
"Run.Program","4","C:\Users\jdsoc\AppData\Local\Programs\Python\Python310\python.exe ""C:/Users/jdsoc/Documents/math4610/Numerical Integration/Comp_Convergence.py""",,"PythonRunner",,"1666806949709","Comp_Convergence.py",,,,,,
"o","4",,"n =  2   0.6503097748895396
",,"stdout","1666806959366",,,,,,,
"o","4",,"n =  4   0.6499055993840338
",,"stdout","1666806959367",,,,,,,
"o","4",,"n =  8   0.6498818839235537
",,"stdout","1666806959368",,,,,,,
"o","4",,"n =  16   0.6498804267988076
",,"stdout","1666806959368",,,,,,,
"o","4",,"
Process finished with exit code 0
",,"system","1666806963526",,,,,,,
"Run.Program","5","C:\Users\jdsoc\AppData\Local\Programs\Python\Python310\python.exe ""C:/Users/jdsoc/Documents/math4610/Numerical Integration/Comp_Convergence.py""",,"PythonRunner",,"1666806997820","Comp_Convergence.py",,,,,,
"o","5",,"
Process finished with exit code 0
",,"system","1666806998528",,,,,,,
"Run.Program","6","C:\Users\jdsoc\AppData\Local\Programs\Python\Python310\python.exe ""C:/Users/jdsoc/Documents/math4610/Numerical Integration/Comp_Convergence.py""",,"PythonRunner",,"1666807061981","Comp_Convergence.py",,,,,,
"o","6",,"C:\Users\jdsoc\Documents\math4610\Numerical Integration\Comp_Convergence.py:38: RuntimeWarning: divide by zero encountered in log
",,"stderr","1666807062804",,,,,,,
"o","6",,"  logError.append(np.log(error))
",,"stderr","1666807062804",,,,,,,
"o","6",,"
Process finished with exit code 0
",,"system","1666807077618",,,,,,,
"Run.Program","7","C:\Users\jdsoc\AppData\Local\Programs\Python\Python310\python.exe ""C:/Users/jdsoc/Documents/math4610/Numerical Integration/Comp_Convergence.py""",,"PythonRunner",,"1666807157227","Comp_Convergence.py",,,,,,
"o","7",,"C:\Users\jdsoc\Documents\math4610\Numerical Integration\Comp_Convergence.py:38: RuntimeWarning: divide by zero encountered in log
",,"stderr","1666807158074",,,,,,,
"o","7",,"  logError.append(np.log(error))
",,"stderr","1666807158074",,,,,,,
"o","7",,"C:\Users\jdsoc\Documents\math4610\Numerical Integration\Comp_Convergence.py:24: RuntimeWarning: invalid value encountered in double_scalars
",,"stderr","1666807158074",,,,,,,
"o","7",,"  b = (b1 * a22 - b2 * a12) / detA
",,"stderr","1666807158074",,,,,,,
"o","7",,"C:\Users\jdsoc\Documents\math4610\Numerical Integration\Comp_Convergence.py:25: RuntimeWarning: invalid value encountered in double_scalars
",,"stderr","1666807158074",,,,,,,
"o","7",,"  a = (b2 * a11 - b1 * a21) / detA
",,"stderr","1666807158074",,,,,,,
"o","7",,"
Process finished with exit code 0
",,"system","1666807161094",,,,,,,
"Run.Program","8","C:\Users\jdsoc\AppData\Local\Programs\Python\Python310\python.exe ""C:/Users/jdsoc/Documents/math4610/Numerical Integration/Comp_Convergence.py""",,"PythonRunner",,"1666807233075","Comp_Convergence.py",,,,,,
"o","8",,"C:\Users\jdsoc\Documents\math4610\Numerical Integration\Comp_Convergence.py:38: RuntimeWarning: divide by zero encountered in log
",,"stderr","1666807233992",,,,,,,
"o","8",,"logH =  -1.3862943611198906  logError =  -inf
",,"stdout","1666807233993",,,,,,,
"o","8",,"  logError.append(np.log(error))
",,"stderr","1666807233993",,,,,,,
"o","8",,"logH =  -2.0794415416798357  logError =  -inf
",,"stdout","1666807233993",,,,,,,
"o","8",,"logH =  -2.772588722239781  logError =  -inf
",,"stdout","1666807233993",,,,,,,
"o","8",,"logH =  -3.4657359027997265  logError =  -inf
",,"stdout","1666807233993",,,,,,,
"o","8",,"logH =  -4.1588830833596715  logError =  -inf
",,"stdout","1666807233993",,,,,,,
"o","8",,"logH =  -4.852030263919617  logError =  -inf
",,"stdout","1666807233993",,,,,,,
"o","8",,"logH =  -5.545177444479562  logError =  -inf
",,"stdout","1666807233993",,,,,,,
"o","8",,"logH =  -6.238324625039508  logError =  -inf
",,"stdout","1666807233993",,,,,,,
"o","8",,"
Process finished with exit code 0
",,"system","1666807240830",,,,,,,
"Run.Program","9","C:\Users\jdsoc\AppData\Local\Programs\Python\Python310\python.exe ""C:/Users/jdsoc/Documents/math4610/Numerical Integration/Comp_Convergence.py""",,"PythonRunner",,"1666807277357","Comp_Convergence.py",,,,,,
"o","9",,"0.0
",,"stdout","1666807278076",,,,,,,
"o","9",,"C:\Users\jdsoc\Documents\math4610\Numerical Integration\Comp_Convergence.py:39: RuntimeWarning: divide by zero encountered in log
",,"stderr","1666807278076",,,,,,,
"o","9",,"0.0
",,"stdout","1666807278076",,,,,,,
"o","9",,"  logError.append(np.log(error))
",,"stderr","1666807278076",,,,,,,
"o","9",,"0.0
",,"stdout","1666807278076",,,,,,,
"o","9",,"0.0
",,"stdout","1666807278076",,,,,,,
"o","9",,"0.0
",,"stdout","1666807278076",,,,,,,
"o","9",,"0.0
",,"stdout","1666807278076",,,,,,,
"o","9",,"0.0
",,"stdout","1666807278076",,,,,,,
"o","9",,"0.0
",,"stdout","1666807278092",,,,,,,
"o","9",,"
Process finished with exit code 0
",,"system","1666807279661",,,,,,,
"Run.Program","10","C:\Users\jdsoc\AppData\Local\Programs\Python\Python310\python.exe ""C:/Users/jdsoc/Documents/math4610/Numerical Integration/Comp_Convergence.py""",,"PythonRunner",,"1666807295054","Comp_Convergence.py",,,,,,
"o","10",,"4
",,"stdout","1666807295977",,,,,,,
"o","10",,"C:\Users\jdsoc\Documents\math4610\Numerical Integration\Comp_Convergence.py:39: RuntimeWarning: divide by zero encountered in log
",,"stderr","1666807295977",,,,,,,
"o","10",,"8
",,"stdout","1666807295977",,,,,,,
"o","10",,"  logError.append(np.log(error))
",,"stderr","1666807295977",,,,,,,
"o","10",,"16
",,"stdout","1666807295977",,,,,,,
"o","10",,"32
",,"stdout","1666807295977",,,,,,,
"o","10",,"64
",,"stdout","1666807295977",,,,,,,
"o","10",,"128
",,"stdout","1666807295977",,,,,,,
"o","10",,"256
",,"stdout","1666807295977",,,,,,,
"o","10",,"512
",,"stdout","1666807295977",,,,,,,
"o","10",,"
Process finished with exit code 0
",,"system","1666807297649",,,,,,,
"Run.Program","11","C:\Users\jdsoc\AppData\Local\Programs\Python\Python310\python.exe ""C:/Users/jdsoc/Documents/math4610/Numerical Integration/Comp_Convergence.py""",,"PythonRunner",,"1666807334691","Comp_Convergence.py",,,,,,
"o","11",,"  File ""C:\Users\jdsoc\Documents\math4610\Numerical Integration\Comp_Convergence.py"", line 36
",,"stderr","1666807334795",,,,,,,
"o","11",,"    print(fval[j] - f(hval[j])
",,"stderr","1666807334795",,,,,,,
"o","11",,"          ^^^^^^^^^^^^^^^^^^^^
",,"stderr","1666807334795",,,,,,,
"o","11",,"SyntaxError: invalid syntax. Perhaps you forgot a comma?
",,"stderr","1666807334795",,,,,,,
"o","11",,"
Process finished with exit code 1
",,"system","1666807334797",,,,,,,
"Run.Program","12","C:\Users\jdsoc\AppData\Local\Programs\Python\Python310\python.exe ""C:/Users/jdsoc/Documents/math4610/Numerical Integration/Comp_Convergence.py""",,"PythonRunner",,"1666807354229","Comp_Convergence.py",,,,,,
"o","12",,"C:\Users\jdsoc\Documents\math4610\Numerical Integration\Comp_Convergence.py:39: RuntimeWarning: divide by zero encountered in log
",,"stderr","1666807355007",,,,,,,
"o","12",,"  logError.append(np.log(error))
",,"stderr","1666807355007",,,,,,,
"o","12",,"0.0
",,"stdout","1666807355007",,,,,,,
"o","12",,"0.0
",,"stdout","1666807355007",,,,,,,
"o","12",,"0.0
",,"stdout","1666807355007",,,,,,,
"o","12",,"0.0
",,"stdout","1666807355007",,,,,,,
"o","12",,"0.0
",,"stdout","1666807355007",,,,,,,
"o","12",,"0.0
",,"stdout","1666807355007",,,,,,,
"o","12",,"0.0
",,"stdout","1666807355007",,,,,,,
"o","12",,"0.0
",,"stdout","1666807355007",,,,,,,
"o","12",,"0.0
",,"stdout","1666807355007",,,,,,,
"o","12",,"0.0
",,"stdout","1666807355007",,,,,,,
"o","12",,"0.0
",,"stdout","1666807355007",,,,,,,
"o","12",,"0.0
",,"stdout","1666807355007",,,,,,,
"o","12",,"0.0
",,"stdout","1666807355007",,,,,,,
"o","12",,"0.0
",,"stdout","1666807355007",,,,,,,
"o","12",,"0.0
",,"stdout","1666807355007",,,,,,,
"o","12",,"0.0
",,"stdout","1666807355007",,,,,,,
"o","12",,"0.0
",,"stdout","1666807355007",,,,,,,
"o","12",,"0.0
",,"stdout","1666807355007",,,,,,,
"o","12",,"0.0
",,"stdout","1666807355007",,,,,,,
"o","12",,"0.0
",,"stdout","1666807355007",,,,,,,
"o","12",,"0.0
",,"stdout","1666807355007",,,,,,,
"o","12",,"0.0
",,"stdout","1666807355007",,,,,,,
"o","12",,"0.0
",,"stdout","1666807355007",,,,,,,
"o","12",,"0.0
",,"stdout","1666807355007",,,,,,,
"o","12",,"0.0
",,"stdout","1666807355007",,,,,,,
"o","12",,"0.0
",,"stdout","1666807355007",,,,,,,
"o","12",,"0.0
",,"stdout","1666807355007",,,,,,,
"o","12",,"0.0
",,"stdout","1666807355007",,,,,,,
"o","12",,"0.0
",,"stdout","1666807355007",,,,,,,
"o","12",,"0.0
",,"stdout","1666807355007",,,,,,,
"o","12",,"0.0
",,"stdout","1666807355007",,,,,,,
"o","12",,"0.0
",,"stdout","1666807355007",,,,,,,
"o","12",,"0.0
",,"stdout","1666807355007",,,,,,,
"o","12",,"0.0
",,"stdout","1666807355007",,,,,,,
"o","12",,"0.0
",,"stdout","1666807355007",,,,,,,
"o","12",,"0.0
",,"stdout","1666807355007",,,,,,,
"o","12",,"0.0
",,"stdout","1666807355007",,,,,,,
"o","12",,"0.0
",,"stdout","1666807355007",,,,,,,
"o","12",,"0.0
",,"stdout","1666807355007",,,,,,,
"o","12",,"0.0
",,"stdout","1666807355007",,,,,,,
"o","12",,"0.0
",,"stdout","1666807355007",,,,,,,
"o","12",,"0.0
",,"stdout","1666807355007",,,,,,,
"o","12",,"0.0
",,"stdout","1666807355007",,,,,,,
"o","12",,"0.0
",,"stdout","1666807355007",,,,,,,
"o","12",,"0.0
",,"stdout","1666807355007",,,,,,,
"o","12",,"0.0
",,"stdout","1666807355007",,,,,,,
"o","12",,"0.0
",,"stdout","1666807355007",,,,,,,
"o","12",,"0.0
",,"stdout","1666807355007",,,,,,,
"o","12",,"0.0
",,"stdout","1666807355007",,,,,,,
"o","12",,"0.0
",,"stdout","1666807355007",,,,,,,
"o","12",,"0.0
",,"stdout","1666807355007",,,,,,,
"o","12",,"0.0
",,"stdout","1666807355007",,,,,,,
"o","12",,"0.0
",,"stdout","1666807355007",,,,,,,
"o","12",,"0.0
",,"stdout","1666807355007",,,,,,,
"o","12",,"0.0
",,"stdout","1666807355007",,,,,,,
"o","12",,"0.0
",,"stdout","1666807355007",,,,,,,
"o","12",,"0.0
",,"stdout","1666807355007",,,,,,,
"o","12",,"0.0
",,"stdout","1666807355007",,,,,,,
"o","12",,"0.0
",,"stdout","1666807355007",,,,,,,
"o","12",,"0.0
",,"stdout","1666807355007",,,,,,,
"o","12",,"0.0
",,"stdout","1666807355007",,,,,,,
"o","12",,"0.0
",,"stdout","1666807355007",,,,,,,
"o","12",,"0.0
",,"stdout","1666807355007",,,,,,,
"o","12",,"0.0
",,"stdout","1666807355007",,,,,,,
"o","12",,"0.0
",,"stdout","1666807355007",,,,,,,
"o","12",,"0.0
",,"stdout","1666807355007",,,,,,,
"o","12",,"0.0
",,"stdout","1666807355007",,,,,,,
"o","12",,"0.0
",,"stdout","1666807355007",,,,,,,
"o","12",,"0.0
",,"stdout","1666807355007",,,,,,,
"o","12",,"0.0
",,"stdout","1666807355007",,,,,,,
"o","12",,"0.0
",,"stdout","1666807355007",,,,,,,
"o","12",,"0.0
",,"stdout","1666807355007",,,,,,,
"o","12",,"0.0
",,"stdout","1666807355007",,,,,,,
"o","12",,"0.0
",,"stdout","1666807355007",,,,,,,
"o","12",,"0.0
",,"stdout","1666807355007",,,,,,,
"o","12",,"0.0
",,"stdout","1666807355007",,,,,,,
"o","12",,"0.0
",,"stdout","1666807355007",,,,,,,
"o","12",,"0.0
",,"stdout","1666807355007",,,,,,,
"o","12",,"0.0
",,"stdout","1666807355007",,,,,,,
"o","12",,"0.0
",,"stdout","1666807355007",,,,,,,
"o","12",,"0.0
",,"stdout","1666807355007",,,,,,,
"o","12",,"0.0
",,"stdout","1666807355007",,,,,,,
"o","12",,"0.0
",,"stdout","1666807355007",,,,,,,
"o","12",,"0.0
",,"stdout","1666807355007",,,,,,,
"o","12",,"0.0
",,"stdout","1666807355007",,,,,,,
"o","12",,"0.0
",,"stdout","1666807355008",,,,,,,
"o","12",,"0.0
",,"stdout","1666807355008",,,,,,,
"o","12",,"0.0
",,"stdout","1666807355008",,,,,,,
"o","12",,"0.0
",,"stdout","1666807355008",,,,,,,
"o","12",,"0.0
",,"stdout","1666807355008",,,,,,,
"o","12",,"0.0
",,"stdout","1666807355008",,,,,,,
"o","12",,"0.0
",,"stdout","1666807355008",,,,,,,
"o","12",,"0.0
",,"stdout","1666807355008",,,,,,,
"o","12",,"0.0
",,"stdout","1666807355008",,,,,,,
"o","12",,"0.0
",,"stdout","1666807355008",,,,,,,
"o","12",,"0.0
",,"stdout","1666807355008",,,,,,,
"o","12",,"0.0
",,"stdout","1666807355008",,,,,,,
"o","12",,"0.0
",,"stdout","1666807355008",,,,,,,
"o","12",,"0.0
",,"stdout","1666807355008",,,,,,,
"o","12",,"0.0
",,"stdout","1666807355008",,,,,,,
"o","12",,"0.0
",,"stdout","1666807355008",,,,,,,
"o","12",,"0.0
",,"stdout","1666807355008",,,,,,,
"o","12",,"0.0
",,"stdout","1666807355008",,,,,,,
"o","12",,"0.0
",,"stdout","1666807355008",,,,,,,
"o","12",,"0.0
",,"stdout","1666807355008",,,,,,,
"o","12",,"0.0
",,"stdout","1666807355008",,,,,,,
"o","12",,"0.0
",,"stdout","1666807355008",,,,,,,
"o","12",,"0.0
",,"stdout","1666807355008",,,,,,,
"o","12",,"0.0
",,"stdout","1666807355008",,,,,,,
"o","12",,"0.0
",,"stdout","1666807355008",,,,,,,
"o","12",,"0.0
",,"stdout","1666807355008",,,,,,,
"o","12",,"0.0
",,"stdout","1666807355008",,,,,,,
"o","12",,"0.0
",,"stdout","1666807355008",,,,,,,
"o","12",,"0.0
",,"stdout","1666807355008",,,,,,,
"o","12",,"0.0
",,"stdout","1666807355008",,,,,,,
